departamento,municipio,año,area_cosechada_ha,produccion_t,rendimiento_kg_ha,anio
Quindio,CALARCA,2007,3776.0,4744.0,1260.0,2007
Quindio,QUIMBAYA,2007,2964.0,4164.0,1400.0,2007
Quindio,PIJAO,2007,2368.0,2585.0,1090.0,2007
Quindio,FILANDIA,2007,1920.0,2722.0,1420.0,2007
Quindio,CIRCASIA,2007,1874.0,2379.0,1270.0,2007
Quindio,ARMENIA,2007,1820.0,2608.0,1430.0,2007
Quindio,CORDOBA,2007,1328.0,1375.0,1040.0,2007
Quindio,BUENAVISTA,2007,990.0,1274.0,1290.0,2007
Quindio,MONTENEGRO,2007,930.0,1413.0,1520.0,2007
Quindio,GENOVA,2007,931.0,886.0,950.0,2007
Quindio,SALENTO,2007,611.0,589.0,960.0,2007
Quindio,LA TEBAIDA,2007,392.0,687.0,1750.0,2007
Quindio,CALARCA,2008,3711.0,4410.0,1190.0,2008
Quindio,QUIMBAYA,2008,2924.0,3886.0,1330.0,2008
Quindio,PIJAO,2008,2330.0,2406.0,1030.0,2008
Quindio,FILANDIA,2008,1902.0,2551.0,1340.0,2008
Quindio,CIRCASIA,2008,1807.0,2170.0,1200.0,2008
Quindio,ARMENIA,2008,1820.0,2467.0,1360.0,2008
Quindio,CORDOBA,2008,1307.0,1281.0,980.0,2008
Quindio,BUENAVISTA,2008,955.0,1163.0,1220.0,2008
Quindio,MONTENEGRO,2008,944.0,1357.0,1440.0,2008
Quindio,GENOVA,2008,916.0,825.0,900.0,2008
Quindio,SALENTO,2008,576.0,525.0,910.0,2008
Quindio,LA TEBAIDA,2008,379.0,628.0,1660.0,2008
Quindio,CALARCA,2009,3898.0,4430.0,1140.0,2009
Quindio,QUIMBAYA,2009,2727.0,3466.0,1270.0,2009
Quindio,PIJAO,2009,2278.0,2250.0,990.0,2009
Quindio,FILANDIA,2009,1837.0,2356.0,1280.0,2009
Quindio,CIRCASIA,2009,1801.0,2069.0,1150.0,2009
