departamento,year,tmax_mean,tmax_min,tmax_max
Narino,1972,18.44,17.2,20.0
Narino,1973,19.0,17.4,20.6
Narino,1974,18.166666666666668,17.0,21.6
Narino,1975,17.741666666666667,16.4,19.4
Narino,1976,18.36,16.0,20.0
Narino,1977,18.166666666666668,15.0,20.0
Narino,1978,19.96666666666667,19.0,21.6
Narino,1981,18.8,18.8,18.8
Narino,1982,17.69090909090909,15.8,19.1
Narino,1983,18.466666666666665,17.0,20.0
Narino,1984,17.875,15.8,19.0
Narino,1985,18.333333333333332,16.0,21.3
Narino,1986,17.880000000000003,15.8,18.8
Narino,1990,18.869999999999997,17.2,20.4
Narino,1991,17.983333333333334,15.2,19.6
Narino,1992,18.758333333333333,16.4,20.5
Narino,1993,18.577777777777776,17.8,20.4
Narino,1994,18.419999999999998,16.9,19.9
Narino,1995,20.116666666666667,17.8,22.4
Narino,1996,18.740000000000002,17.0,19.6
Narino,1997,18.572727272727274,17.0,21.0
Narino,1998,19.016666666666666,16.0,20.7
Narino,1999,17.608333333333334,15.2,19.5
Narino,2000,18.474999999999998,16.4,19.8
Narino,2001,18.808333333333334,16.4,21.4
Narino,2002,18.683333333333334,16.9,20.0
Narino,2003,18.783333333333335,16.3,20.4
Narino,2004,18.650000000000002,15.6,20.7
Narino,2005,19.375,17.6,20.4
Narino,2006,19.058333333333334,17.2,20.6
Narino,2007,18.941666666666666,16.5,21.0
Narino,2008,19.116666666666667,17.8,19.9
Narino,2009,19.516666666666666,17.6,21.0
Narino,2010,19.841666666666665,17.6,22.4
Narino,2011,19.208333333333332,17.8,20.2
Narino,2012,18.791666666666668,17.2,20.6
Narino,2013,19.0,15.8,20.6
Narino,2014,18.966666666666665,16.2,21.0
Narino,2015,19.025000000000002,16.4,21.4
Narino,2016,20.316666666666666,16.4,23.4
Narino,2017,19.166666666666668,18.2,20.2
Narino,2018,19.066666666666666,16.6,21.0
Narino,2019,19.025000000000002,17.4,20.4
Narino,2020,19.34166666666667,17.6,21.0
Narino,2021,18.841666666666665,17.1,20.2
Narino,2022,18.833333333333332,17.2,19.8
Narino,2023,19.35,16.6,20.8
Narino,2024,19.883333333333333,17.0,21.6
Quindio,1972,31.736363636363638,30.0,34.0
Quindio,1973,34.9,34.8,35.0
Quindio,1974,31.8,30.6,34.0
Quindio,1975,30.38181818181818,29.0,32.0
Quindio,1976,31.583333333333332,30.4,33.4
Quindio,1977,31.825,29.8,35.0
Quindio,1978,30.7,28.6,33.2
Quindio,1979,30.52,29.4,32.2
Quindio,1980,33.0,33.0,33.0
Quindio,1981,30.30909090909091,29.6,31.6
Quindio,1983,29.8,29.6,30.0
Quindio,1984,29.516666666666666,28.4,30.6
Quindio,1985,30.4,29.2,31.2
Quindio,1986,30.099999999999998,29.0,32.6
Quindio,1987,30.981818181818184,29.2,32.2
Quindio,1988,30.400000000000002,29.2,31.8
Quindio,1989,29.852500000000003,28.4,32.4
Quindio,1990,30.95,28.6,32.2
Quindio,1991,30.545454545454547,29.6,31.8
Quindio,1992,30.56666666666667,29.0,31.6
Quindio,1993,30.21666666666667,28.6,32.6
Quindio,1994,30.03333333333333,28.8,32.4
Quindio,1995,30.799999999999997,29.0,32.0
Quindio,1996,29.8,28.8,31.6
Quindio,1997,30.900000000000002,28.6,33.8
Quindio,1998,30.900000000000002,28.4,33.4
Quindio,1999,29.28333333333333,28.0,31.2
Quindio,2000,29.150000000000002,28.4,31.4
Quindio,2001,30.428571428571427,29.6,32.0
Quindio,2002,31.06666666666667,29.4,33.2
Quindio,2003,30.575,28.8,31.8
Quindio,2004,30.883333333333336,29.4,32.4
Quindio,2005,30.566666666666666,28.4,33.0
Quindio,2006,30.75,29.2,32.6
Quindio,2007,30.083333333333332,29.0,31.4
Quindio,2008,29.400000000000002,28.4,30.2
Quindio,2009,30.974999999999998,28.8,33.6
Quindio,2010,30.849999999999998,28.8,33.4
Quindio,2011,30.383333333333336,29.4,32.0
Quindio,2012,31.03333333333333,29.4,33.0
Quindio,2013,30.900000000000002,29.8,32.0
Quindio,2014,31.316666666666666,29.6,33.6
Quindio,2015,32.416666666666664,30.6,35.0
Quindio,2016,31.46666666666667,28.6,33.6
Quindio,2017,30.8,29.2,32.2
Quindio,2018,30.266666666666666,29.3,32.4
Quindio,2019,31.325,29.7,34.6
Quindio,2020,31.650000000000002,29.1,34.2
Quindio,2021,30.125,29.2,31.3
Quindio,2022,29.46666666666667,27.5,30.4
Quindio,2023,31.191666666666666,29.6,33.9
