departamento,year,tmedia_mean,tmedia_min,tmedia_max
Narino,1972,11.408333333333333,10.8,12.3
Narino,1973,11.408333333333333,10.7,12.1
Narino,1974,10.558333333333334,9.6,11.4
Narino,1975,10.174999999999999,9.2,10.8
Narino,1976,10.316666666666666,9.2,11.1
Narino,1977,10.816666666666668,10.0,11.6
Narino,1978,10.875,9.3,11.7
Narino,1979,11.091666666666667,10.2,11.7
Narino,1980,11.016666666666666,10.0,11.5
Narino,1981,10.883333333333333,9.5,11.6
Narino,1982,11.15,9.9,12.2
Narino,1983,11.375,10.2,12.6
Narino,1984,10.700000000000001,9.7,11.4
Narino,1985,10.166666666666666,8.3,11.3
Narino,1986,10.333333333333334,9.0,11.1
Narino,1987,10.833333333333334,10.2,11.3
Narino,1988,10.65,9.7,11.5
Narino,1989,10.4,9.4,11.3
Narino,1990,10.908333333333333,9.8,11.6
Narino,1991,10.758333333333333,9.0,11.7
Narino,1992,10.758333333333333,9.2,11.6
Narino,1993,10.516666666666667,9.6,11.3
Narino,1994,10.525,9.4,11.1
Narino,1995,10.858333333333334,10.3,11.4
Narino,1996,10.391666666666667,9.5,11.0
Narino,1997,11.066666666666668,9.9,11.9
Narino,1998,11.683333333333332,10.4,13.2
Narino,1999,10.75,9.4,11.4
Narino,2000,10.875,9.9,11.5
Narino,2001,11.066666666666668,9.9,12.4
Narino,2002,11.258333333333333,10.4,12.1
Narino,2003,11.333333333333334,10.1,11.9
Narino,2004,11.316666666666668,10.2,11.9
Narino,2005,11.424999999999999,10.4,12.1
Narino,2006,11.308333333333332,10.2,12.0
Narino,2007,11.166666666666666,10.1,12.0
Narino,2008,11.158333333333333,10.4,11.9
Narino,2009,11.558333333333332,10.7,12.4
Narino,2010,11.566666666666668,10.4,12.8
Narino,2011,11.174999999999999,10.2,11.7
Narino,2012,11.008333333333333,10.1,11.8
Narino,2013,11.225,9.9,12.0
Narino,2014,11.283333333333333,9.8,12.0
Narino,2015,11.475,10.7,12.2
Narino,2016,12.208333333333334,10.6,13.8
Narino,2017,11.574414682539675,10.3895161290322,12.0428315412186
Narino,2018,11.443669817090516,10.4994623655914,12.5231018518519
Narino,2019,11.589637559026,10.1921146953405,12.3351190476191
Narino,2020,11.824653309919093,10.9282407407407,12.8837813620072
Narino,2021,11.53121012189225,10.5870071684587,12.6491039426524
Narino,2022,11.44838686564829,10.509229390681,11.925496031746
Narino,2023,11.732171925669917,11.1384259259259,12.6426523297491
Narino,2024,12.16204628942996,10.6043010752688,13.0738505747126
Quindio,1972,21.925,21.0,23.1
Quindio,1973,22.108333333333334,20.9,24.0
Quindio,1974,21.433333333333334,20.7,22.5
Quindio,1975,21.333333333333332,20.5,22.6
Quindio,1976,22.041666666666668,21.3,23.5
Quindio,1977,22.333333333333332,21.1,23.3
Quindio,1978,21.95,21.3,23.2
Quindio,1979,22.066666666666666,21.5,22.8
Quindio,1980,22.675,22.0,24.3
Quindio,1981,22.266666666666666,21.8,22.8
Quindio,1982,22.333333333333332,21.3,23.5
Quindio,1983,22.766666666666666,21.6,23.9
Quindio,1984,21.900000000000002,21.3,22.7
Quindio,1985,22.125,21.8,22.7
Quindio,1986,22.191666666666666,21.5,22.8
Quindio,1987,22.724999999999998,21.8,23.2
Quindio,1988,21.71666666666667,20.5,23.4
Quindio,1989,21.625,21.0,22.3
Quindio,1990,22.166666666666668,21.4,22.8
Quindio,1991,22.433333333333334,21.5,23.1
Quindio,1992,22.21666666666667,21.0,23.0
Quindio,1993,21.883333333333336,21.3,22.8
Quindio,1994,21.933333333333334,21.0,22.7
Quindio,1995,21.75,20.8,23.0
Quindio,1996,21.416666666666668,20.9,22.1
Quindio,1997,22.275000000000002,21.1,24.2
Quindio,1998,22.40833333333333,21.1,23.9
Quindio,1999,21.275000000000002,20.4,22.4
Quindio,2000,21.425,20.6,22.5
Quindio,2001,21.84166666666667,21.3,22.7
Quindio,2002,22.375,21.5,23.6
Quindio,2003,22.316666666666666,21.5,23.4
Quindio,2004,22.224999999999998,21.3,23.4
Quindio,2005,22.316666666666666,21.2,23.0
Quindio,2006,22.2,21.5,23.3
Quindio,2007,21.883333333333336,20.8,23.1
Quindio,2008,21.491666666666664,21.1,21.7
Quindio,2009,22.25,21.6,23.4
Quindio,2010,22.28333333333333,20.8,24.3
Quindio,2011,22.058333333333334,21.3,22.8
Quindio,2012,22.416666666666668,21.7,23.3
Quindio,2013,22.541666666666668,21.5,23.6
Quindio,2014,22.681818181818183,21.9,24.6
Quindio,2015,23.21666666666667,22.1,24.0
Quindio,2016,22.758333333333336,21.5,24.2
Quindio,2017,22.233333333333334,21.5,23.1
Quindio,2018,22.116666666666664,21.4,22.9
Quindio,2019,22.441666666666666,21.5,23.5
Quindio,2020,22.40833333333333,21.4,23.4
Quindio,2021,21.883333333333336,21.2,22.5
Quindio,2022,21.681818181818183,21.0,22.3
Quindio,2023,22.509999999999998,21.3,23.4
