time,lat,lon,precip_mm_day,year,month,days_in_month,precip_mm_month,departamento
2000-01-01,4.5,-75.5,0.5958810601017267,2000,1,31,18.472312863153526,Quindío
2000-02-01,4.5,-75.5,2.101930634660449,2000,2,29,60.95598840515302,Quindío
2000-03-01,4.5,-75.5,1.642750220465565,2000,3,31,50.92525683443252,Quindío
2000-04-01,4.5,-75.5,2.9965290360953527,2000,4,30,89.89587108286058,Quindío
2000-05-01,4.5,-75.5,3.9100039026076288,2000,5,31,121.21012098083649,Quindío
2000-06-01,4.5,-75.5,2.3597369565323008,2000,6,30,70.79210869596902,Quindío
2000-07-01,4.5,-75.5,1.2929482370568681,2000,7,31,40.08139534876291,Quindío
2000-08-01,4.5,-75.5,2.2916099508700882,2000,8,31,71.03990847697274,Quindío
2000-09-01,4.5,-75.5,4.029976079973708,2000,9,30,120.89928239921124,Quindío
2000-10-01,4.5,-75.5,2.3709734516236436,2000,10,31,73.50017700033295,Quindío
2000-11-01,4.5,-75.5,1.1310878485919678,2000,11,30,33.932635457759034,Quindío
2000-12-01,4.5,-75.5,1.274041904281154,2000,12,31,39.49529903271577,Quindío
2001-01-01,4.5,-75.5,0.22935153310079795,2001,1,31,7.109897526124737,Quindío
2001-02-01,4.5,-75.5,0.213792075027426,2001,2,28,5.986178100767928,Quindío
2001-03-01,4.5,-75.5,2.9113375613632537,2001,3,31,90.25146440226086,Quindío
2001-04-01,4.5,-75.5,3.4136016163821408,2001,4,30,102.40804849146423,Quindío
2001-05-01,4.5,-75.5,5.663014953252352,2001,5,31,175.55346355082293,Quindío
2001-06-01,4.5,-75.5,1.717161043218312,2001,6,30,51.51483129654936,Quindío
2001-07-01,4.5,-75.5,1.4987540382173739,2001,7,31,46.46137518473859,Quindío
2001-08-01,4.5,-75.5,0.9100530757632497,2001,8,31,28.21164534866074,Quindío
2001-09-01,4.5,-75.5,3.7920065437478723,2001,9,30,113.76019631243616,Quindío
2001-10-01,4.5,-75.5,3.379850974236068,2001,10,31,104.77538020131811,Quindío
2001-11-01,4.5,-75.5,2.7062506147850067,2001,11,30,81.1875184435502,Quindío
2001-12-01,4.5,-75.5,3.859580370758784,2001,12,31,119.64699149352231,Quindío
2002-01-01,4.5,-75.5,0.6261597657824373,2002,1,31,19.410952739255556,Quindío
2002-02-01,4.5,-75.5,0.9733993572094977,2002,2,28,27.255182001865933,Quindío
2002-03-01,4.5,-75.5,6.926572912605506,2002,3,31,214.72376029077068,Quindío
2002-04-01,4.5,-75.5,6.71650568516336,2002,4,30,201.49517055490082,Quindío
2002-05-01,4.5,-75.5,4.573831274270593,2002,5,31,141.7887695023884,Quindío
2002-06-01,4.5,-75.5,5.564233244055074,2002,6,30,166.9269973216522,Quindío
2002-07-01,4.5,-75.5,4.768536048337687,2002,7,31,147.82461749846829,Quindío
2002-08-01,4.5,-75.5,1.1518616553043493,2002,8,31,35.707711314434825,Quindío
2002-09-01,4.5,-75.5,7.566264744100861,2002,9,30,226.98794232302583,Quindío
2002-10-01,4.5,-75.5,4.936115989937718,2002,10,31,153.01959568806924,Quindío
2002-11-01,4.5,-75.5,2.9781447806163746,2002,11,30,89.34434341849123,Quindío
2002-12-01,4.5,-75.5,2.756777899290493,2002,12,31,85.46011487800529,Quindío
2003-01-01,4.5,-75.5,0.3778318949582752,2003,1,31,11.71278874370653,Quindío
2003-02-01,4.5,-75.5,2.803217935449597,2003,2,28,78.49010219258872,Quindío
2003-03-01,4.5,-75.5,3.2393916837412995,2003,3,31,100.42114219598028,Quindío
2003-04-01,4.5,-75.5,7.804760902827802,2003,4,30,234.14282708483404,Quindío
2003-05-01,4.5,-75.5,1.9769228919878168,2003,5,31,61.28460965162232,Quindío
2003-06-01,4.5,-75.5,3.0220274006601544,2003,6,30,90.66082201980463,Quindío
2003-07-01,4.5,-75.5,0.743934516089656,2003,7,31,23.061969998779336,Quindío
2003-08-01,4.5,-75.5,2.657727336477844,2003,8,31,82.38954743081317,Quindío
2003-09-01,4.5,-75.5,2.9998919505224384,2003,9,30,89.99675851567315,Quindío
2003-10-01,4.5,-75.5,4.783750272741611,2003,10,31,148.29625845498995,Quindío
2003-11-01,4.5,-75.5,3.4622390212645247,2003,11,30,103.86717063793574,Quindío
2003-12-01,4.5,-75.5,1.5991952616658127,2003,12,31,49.575053111640194,Quindío
2004-01-01,4.5,-75.5,0.7759598902478784,2004,1,31,24.05475659768423,Quindío
2004-02-01,4.5,-75.5,0.720037729898252,2004,2,29,20.88109416704931,Quindío
2004-03-01,4.5,-75.5,1.0282790448137722,2004,3,31,31.87665038922694,Quindío
2004-04-01,4.5,-75.5,7.439467262045997,2004,4,30,223.1840178613799,Quindío
2004-05-01,4.5,-75.5,7.114963626226835,2004,5,31,220.5638724130319,Quindío
2004-06-01,4.5,-75.5,1.1841398269806698,2004,6,30,35.524194809420095,Quindío
2004-07-01,4.5,-75.5,2.5490020881865534,2004,7,31,79.01906473378315,Quindío
2004-08-01,4.5,-75.5,1.05204214306828,2004,8,31,32.613306435116684,Quindío
2004-09-01,4.5,-75.5,3.2744922037088364,2004,9,30,98.23476611126509,Quindío
2004-10-01,4.5,-75.5,5.828389050321032,2004,10,31,180.680060559952,Quindío
2004-11-01,4.5,-75.5,3.9132992881893616,2004,11,30,117.39897864568084,Quindío
2004-12-01,4.5,-75.5,0.8110045266094978,2004,12,31,25.141140324894433,Quindío
2005-01-01,4.5,-75.5,1.6849354544187745,2005,1,31,52.232999086982005,Quindío
2005-02-01,4.5,-75.5,2.020454970958091,2005,2,28,56.57273918682654,Quindío
2005-03-01,4.5,-75.5,2.00651046493896,2005,3,31,62.20182441310775,Quindío
2005-04-01,4.5,-75.5,2.774528305966445,2005,4,30,83.23584917899336,Quindío
2005-05-01,4.5,-75.5,7.135129514635031,2005,5,31,221.18901495368596,Quindío
2005-06-01,4.5,-75.5,2.2329789474583652,2005,6,30,66.98936842375096,Quindío
2005-07-01,4.5,-75.5,2.369021489358834,2005,7,31,73.43966617012386,Quindío
2005-08-01,4.5,-75.5,2.2522175297986227,2005,8,31,69.8187434237573,Quindío
2005-09-01,4.5,-75.5,5.40796078024244,2005,9,30,162.2388234072732,Quindío
2005-10-01,4.5,-75.5,8.105811681444166,2005,10,31,251.28016212476916,Quindío
2005-11-01,4.5,-75.5,6.149813320851971,2005,11,30,184.4943996255591,Quindío
2005-12-01,4.5,-75.5,3.0896123112205496,2005,12,31,95.77798164783704,Quindío
2006-01-01,4.5,-75.5,1.6961227870581315,2006,1,31,52.57980639880208,Quindío
2006-02-01,4.5,-75.5,0.7705893052563542,2006,2,28,21.576500547177915,Quindío
2006-03-01,4.5,-75.5,3.7577424458067186,2006,3,31,116.49001582000828,Quindío
2006-04-01,4.5,-75.5,6.258259129737341,2006,4,30,187.74777389212022,Quindío
2006-05-01,4.5,-75.5,5.197092385042018,2006,5,31,161.10986393630256,Quindío
2006-06-01,4.5,-75.5,4.788924640114174,2006,6,30,143.6677392034252,Quindío
2006-07-01,4.5,-75.5,0.9212922537722509,2006,7,31,28.560059866939778,Quindío
2006-08-01,4.5,-75.5,1.0057682614160914,2006,8,31,31.178816103898836,Quindío
2006-09-01,4.5,-75.5,4.5093667484925035,2006,9,30,135.2810024547751,Quindío
2006-10-01,4.5,-75.5,4.743791997290019,2006,10,31,147.0575519159906,Quindío
2006-11-01,4.5,-75.5,5.156501955033427,2006,11,30,154.6950586510028,Quindío
2006-12-01,4.5,-75.5,3.8064824190113757,2006,12,31,118.00095498935265,Quindío
2007-01-01,4.5,-75.5,0.8536407083694637,2007,1,31,26.462861959453374,Quindío
2007-02-01,4.5,-75.5,0.4112284335570918,2007,2,28,11.51439613959857,Quindío
2007-03-01,4.5,-75.5,3.884249748689901,2007,3,31,120.41174220938693,Quindío
2007-04-01,4.5,-75.5,9.02108223179752,2007,4,30,270.6324669539256,Quindío
2007-05-01,4.5,-75.5,8.25693644964812,2007,5,31,255.9650299390917,Quindío
2007-06-01,4.5,-75.5,2.253316403699251,2007,6,30,67.59949211097752,Quindío
2007-07-01,4.5,-75.5,3.0902893444056936,2007,7,31,95.7989696765765,Quindío
2007-08-01,4.5,-75.5,2.3929055954701433,2007,8,31,74.18007345957444,Quindío
2007-09-01,4.5,-75.5,2.522599419728147,2007,9,30,75.67798259184441,Quindío
2007-10-01,4.5,-75.5,7.985179948117571,2007,10,31,247.5405783916447,Quindío
2007-11-01,4.5,-75.5,3.3379170051481513,2007,11,30,100.13751015444454,Quindío
2007-12-01,4.5,-75.5,2.3651922911300147,2007,12,31,73.32096102503046,Quindío
2008-01-01,4.5,-75.5,1.4022428314204727,2008,1,31,43.46952777403465,Quindío
2008-02-01,4.5,-75.5,1.4794870361641448,2008,2,29,42.9051240487602,Quindío
2008-03-01,4.5,-75.5,2.6394952637821723,2008,3,31,81.82435317724735,Quindío
2008-04-01,4.5,-75.5,5.521640592585175,2008,4,30,165.64921777755526,Quindío
2008-05-01,4.5,-75.5,6.682198845096989,2008,5,31,207.14816419800667,Quindío
2008-06-01,4.5,-75.5,4.6359616947893665,2008,6,30,139.07885084368098,Quindío
2008-07-01,4.5,-75.5,3.144011912815462,2008,7,31,97.46436929727933,Quindío
2008-08-01,4.5,-75.5,4.651843519211805,2008,8,31,144.20714909556594,Quindío
2008-09-01,4.5,-75.5,3.220438370853381,2008,9,30,96.61315112560143,Quindío
2008-10-01,4.5,-75.5,3.8534673723948822,2008,10,31,119.45748854424134,Quindío
2008-11-01,4.5,-75.5,5.217386821976709,2008,11,30,156.5216046593013,Quindío
2008-12-01,4.5,-75.5,2.310004998281319,2008,12,31,71.6101549467209,Quindío
2009-01-01,4.5,-75.5,2.1185445712051085,2009,1,31,65.67488170735837,Quindío
2009-02-01,4.5,-75.5,1.8553763250316544,2009,2,28,51.95053710088632,Quindío
2009-03-01,4.5,-75.5,3.6298475190759927,2009,3,31,112.52527309135577,Quindío
2009-04-01,4.5,-75.5,4.711169967494553,2009,4,30,141.33509902483658,Quindío
2009-05-01,4.5,-75.5,3.8793147085673825,2009,5,31,120.25875596558886,Quindío
2009-06-01,4.5,-75.5,4.763481728419174,2009,6,30,142.90445185257522,Quindío
2009-07-01,4.5,-75.5,0.8411504238041079,2009,7,31,26.075663137927343,Quindío
2009-08-01,4.5,-75.5,1.8669697768787572,2009,8,31,57.876063083241476,Quindío
2009-09-01,4.5,-75.5,1.4959929161915924,2009,9,30,44.87978748574777,Quindío
2009-10-01,4.5,-75.5,2.999563852768739,2009,10,31,92.9864794358309,Quindío
2009-11-01,4.5,-75.5,3.083754616740976,2009,11,30,92.51263850222928,Quindío
2009-12-01,4.5,-75.5,1.7226460975156095,2009,12,31,53.402029022983896,Quindío
2010-01-01,4.5,-75.5,0.1043010202800598,2010,1,31,3.233331628681854,Quindío
2010-02-01,4.5,-75.5,1.900405012741385,2010,2,28,53.21134035675878,Quindío
2010-03-01,4.5,-75.5,3.5954481004500853,2010,3,31,111.45889111395265,Quindío
2010-04-01,4.5,-75.5,11.927837658673981,2010,4,30,357.83512976021944,Quindío
2010-05-01,4.5,-75.5,5.976738434442739,2010,5,31,185.2788914677249,Quindío
2010-06-01,4.5,-75.5,6.683403439822056,2010,6,30,200.5021031946617,Quindío
2010-07-01,4.5,-75.5,6.23828187109736,2010,7,31,193.38673800401816,Quindío
2010-08-01,4.5,-75.5,2.4054277204958554,2010,8,31,74.56825933537152,Quindío
2010-09-01,4.5,-75.5,4.407713188400576,2010,9,30,132.23139565201728,Quindío
2010-10-01,4.5,-75.5,4.3317149848499685,2010,10,31,134.283164530349,Quindío
2010-11-01,4.5,-75.5,5.798004722240504,2010,11,30,173.9401416672151,Quindío
2010-12-01,4.5,-75.5,3.9428364647455076,2010,12,31,122.22793040711073,Quindío
2011-01-01,4.5,-75.5,1.3011270825337684,2011,1,31,40.33493955854682,Quindío
2011-02-01,4.5,-75.5,3.846088698735234,2011,2,28,107.69048356458656,Quindío
2011-03-01,4.5,-75.5,5.108515962006484,2011,3,31,158.363994822201,Quindío
2011-04-01,4.5,-75.5,9.12321362066226,2011,4,30,273.6964086198678,Quindío
2011-05-01,4.5,-75.5,6.8013710068709115,2011,5,31,210.84250121299826,Quindío
2011-06-01,4.5,-75.5,2.384599187365768,2011,6,30,71.53797562097304,Quindío
2011-07-01,4.5,-75.5,3.2443536810740694,2011,7,31,100.57496411329615,Quindío
2011-08-01,4.5,-75.5,2.133351355698802,2011,8,31,66.13389202666286,Quindío
2011-09-01,4.5,-75.5,4.130173940143248,2011,9,30,123.90521820429743,Quindío
2011-10-01,4.5,-75.5,9.497180317496033,2011,10,31,294.41258984237703,Quindío
2011-11-01,4.5,-75.5,6.008067898097738,2011,11,30,180.24203694293215,Quindío
2011-12-01,4.5,-75.5,3.934743380955163,2011,12,31,121.97704480961005,Quindío
2012-01-01,4.5,-75.5,1.8185675358944335,2012,1,31,56.37559361272744,Quindío
2012-02-01,4.5,-75.5,1.4334725588188864,2012,2,29,41.5707042057477,Quindío
2012-03-01,4.5,-75.5,6.533103765743613,2012,3,31,202.526216738052,Quindío
2012-04-01,4.5,-75.5,6.945674995121811,2012,4,30,208.37024985365434,Quindío
2012-05-01,4.5,-75.5,4.481301967652002,2012,5,31,138.92036099721207,Quindío
2012-06-01,4.5,-75.5,1.596030283059933,2012,6,30,47.880908491797996,Quindío
2012-07-01,4.5,-75.5,1.8396042322976955,2012,7,31,57.02773120122856,Quindío
