c_d_dep,departamento,c_d_mun,municipio,grupo_de_cultivo,subgrupo_de_cultivo,cultivo,desagregaci_n_regional_y,a_o,periodo,rea_sembrada_ha,rea_cosechada_ha,producci_n_t,rendimiento_t_ha,estado_fisico_produccion,nombre_cientifico,ciclo_de_cultivo,c_digo_dane_departamento,c_digo_dane_municipio,grupo_cultivo,subgrupo,desagregaci_n_cultivo,rea_sembrada,rea_cosechada,producci_n,rendimiento,ciclo_del_cultivo,estado_f_sico_del_cultivo,c_digo_del_cultivo,nombre_cient_fico_del_cultivo
63,QUINDIO,63130,CALARCA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2007,2007,4736,3776,4744,1.26,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63594,QUIMBAYA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2007,2007,3610,2964,4164,1.40,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63548,PIJAO,OTROS PERMANENTES,CAFE,CAFE,CAFE,2007,2007,2626,2368,2585,1.09,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63272,FILANDIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2007,2007,2289,1920,2722,1.42,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63190,CIRCASIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2007,2007,2237,1874,2379,1.27,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63001,ARMENIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2007,2007,2103,1820,2608,1.43,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63212,CORDOBA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2007,2007,1517,1328,1375,1.04,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63111,BUENAVISTA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2007,2007,1137,990,1274,1.29,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63470,MONTENEGRO,OTROS PERMANENTES,CAFE,CAFE,CAFE,2007,2007,1113,930,1413,1.52,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63302,GENOVA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2007,2007,1043,931,886,0.95,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
