departamento,year,month,fecha,spi3,evento,activacion
Nariño,2000,1,2000-01-01,,,No activa
Nariño,2000,2,2000-02-01,,,No activa
Nariño,2000,3,2000-03-01,-0.8792181274070676,normal,No activa
Nariño,2000,4,2000-04-01,-0.9249316244189738,normal,No activa
Nariño,2000,5,2000-05-01,-0.840164573567235,normal,No activa
Nariño,2000,6,2000-06-01,-0.43711510066987935,normal,No activa
Nariño,2000,7,2000-07-01,-0.24802451386402133,normal,No activa
Nariño,2000,8,2000-08-01,-0.5978478307375756,normal,No activa
Nariño,2000,9,2000-09-01,-0.9759998535792853,normal,No activa
Nariño,2000,10,2000-10-01,-1.0199187475610072,sequia,Activa
Nariño,2000,11,2000-11-01,-1.2502845298692034,sequia,Activa
Nariño,2000,12,2000-12-01,-1.6213545893381347,sequia,Activa
Nariño,2001,1,2001-01-01,-1.5860398349756955,sequia,Activa
Nariño,2001,2,2001-02-01,-1.6150001279011643,sequia,Activa
Nariño,2001,3,2001-03-01,-1.2483930786226534,sequia,Activa
Nariño,2001,4,2001-04-01,-1.6321831846748163,sequia,Activa
Nariño,2001,5,2001-05-01,-1.733370169674486,sequia,Activa
Nariño,2001,6,2001-06-01,-2.330366082942914,sequia,Activa
Nariño,2001,7,2001-07-01,-1.85251695688354,sequia,Activa
Nariño,2001,8,2001-08-01,-2.316578972940601,sequia,Activa
Nariño,2001,9,2001-09-01,0.3839144700599534,normal,No activa
Nariño,2001,10,2001-10-01,-1.3847822520592183,sequia,Activa
Nariño,2001,11,2001-11-01,-0.8782875405775653,normal,No activa
Nariño,2001,12,2001-12-01,-1.083697938849084,sequia,Activa
Nariño,2002,1,2002-01-01,-0.6822076556295099,normal,No activa
Nariño,2002,2,2002-02-01,-0.8487190781162238,normal,No activa
Nariño,2002,3,2002-03-01,-1.053388887740357,sequia,Activa
Nariño,2002,4,2002-04-01,-0.692933649217776,normal,No activa
Nariño,2002,5,2002-05-01,-0.8512349802264506,normal,No activa
Nariño,2002,6,2002-06-01,-0.49531637437975573,normal,No activa
Nariño,2002,7,2002-07-01,-1.4010876055777681,sequia,Activa
Nariño,2002,8,2002-08-01,0.3526163088155817,normal,No activa
Nariño,2002,9,2002-09-01,-0.7182218960019585,normal,No activa
Nariño,2002,10,2002-10-01,0.7909456101085003,normal,No activa
Nariño,2002,11,2002-11-01,-0.07145172819595126,normal,No activa
Nariño,2002,12,2002-12-01,-0.15356502715196477,normal,No activa
Nariño,2003,1,2003-01-01,-0.8032849432034997,normal,No activa
Nariño,2003,2,2003-02-01,-0.8946007293793035,normal,No activa
Nariño,2003,3,2003-03-01,-1.075414454676104,sequia,Activa
Nariño,2003,4,2003-04-01,-1.1023331849108122,sequia,Activa
Nariño,2003,5,2003-05-01,-1.2721312264456341,sequia,Activa
Nariño,2003,6,2003-06-01,-0.988455183678732,sequia,Activa
Nariño,2003,7,2003-07-01,-0.6932279715552951,normal,No activa
Nariño,2003,8,2003-08-01,-0.5154249919429535,normal,No activa
Nariño,2003,9,2003-09-01,-1.008510361935944,sequia,Activa
Nariño,2003,10,2003-10-01,0.2628544262268389,normal,No activa
Nariño,2003,11,2003-11-01,0.30986795581588444,normal,No activa
Nariño,2003,12,2003-12-01,-0.034115875541359364,normal,No activa
Nariño,2004,1,2004-01-01,-0.418399077291393,normal,No activa
Nariño,2004,2,2004-02-01,-0.966333665728097,normal,No activa
Nariño,2004,3,2004-03-01,-1.0790023446986765,sequia,Activa
Nariño,2004,4,2004-04-01,-0.6925642144075805,normal,No activa
Nariño,2004,5,2004-05-01,-0.5176804674776598,normal,No activa
Nariño,2004,6,2004-06-01,-0.3876456601026449,normal,No activa
Nariño,2004,7,2004-07-01,-0.3535359244025829,normal,No activa
Nariño,2004,8,2004-08-01,-0.9258755092943323,normal,No activa
Nariño,2004,9,2004-09-01,0.5668457743643668,normal,No activa
Nariño,2004,10,2004-10-01,-0.22083538550396806,normal,No activa
Nariño,2004,11,2004-11-01,-0.23826162619637145,normal,No activa
Nariño,2004,12,2004-12-01,-0.6819140089688984,normal,No activa
Nariño,2005,1,2005-01-01,-0.8151893817981494,normal,No activa
Nariño,2005,2,2005-02-01,-0.9356765223152445,normal,No activa
Nariño,2005,3,2005-03-01,-0.6065620168574899,normal,No activa
Nariño,2005,4,2005-04-01,-0.5975016182139096,normal,No activa
Nariño,2005,5,2005-05-01,-0.5965482790516728,normal,No activa
Nariño,2005,6,2005-06-01,-0.7268877889968485,normal,No activa
Nariño,2005,7,2005-07-01,-0.9002821814686969,normal,No activa
Nariño,2005,8,2005-08-01,-0.8725149316397506,normal,No activa
Nariño,2005,9,2005-09-01,-1.059247264536531,sequia,Activa
Nariño,2005,10,2005-10-01,-0.32236698276302733,normal,No activa
Nariño,2005,11,2005-11-01,-0.7493107822531351,normal,No activa
Nariño,2005,12,2005-12-01,-0.513540360560094,normal,No activa
Nariño,2006,1,2006-01-01,-0.6372857059003431,normal,No activa
Nariño,2006,2,2006-02-01,-0.4614407057719104,normal,No activa
Nariño,2006,3,2006-03-01,-0.3069615499987676,normal,No activa
Nariño,2006,4,2006-04-01,-0.1295435249960714,normal,No activa
Nariño,2006,5,2006-05-01,-0.23147893990998494,normal,No activa
Nariño,2006,6,2006-06-01,-0.3727685133979182,normal,No activa
Nariño,2006,7,2006-07-01,-0.7064587009338165,normal,No activa
Nariño,2006,8,2006-08-01,-0.3995756699036054,normal,No activa
Nariño,2006,9,2006-09-01,-0.77551885057192,normal,No activa
Nariño,2006,10,2006-10-01,-1.0732263022710664,sequia,Activa
Nariño,2006,11,2006-11-01,-0.42511765074115704,normal,No activa
Nariño,2006,12,2006-12-01,-0.10806262449118494,normal,No activa
Nariño,2007,1,2007-01-01,-0.10123854016709692,normal,No activa
Nariño,2007,2,2007-02-01,-0.46862261243067627,normal,No activa
Nariño,2007,3,2007-03-01,-0.7443845114880098,normal,No activa
Nariño,2007,4,2007-04-01,-0.5998612179042007,normal,No activa
Nariño,2007,5,2007-05-01,-0.19678021371883586,normal,No activa
Nariño,2007,6,2007-06-01,-0.15592188052520775,normal,No activa
Nariño,2007,7,2007-07-01,0.482595775597867,normal,No activa
Nariño,2007,8,2007-08-01,0.7348501568956921,normal,No activa
Nariño,2007,9,2007-09-01,0.09162721136950025,normal,No activa
Nariño,2007,10,2007-10-01,0.050358360550748604,normal,No activa
Nariño,2007,11,2007-11-01,-0.5694605743439005,normal,No activa
Nariño,2007,12,2007-12-01,-0.3573484469390453,normal,No activa
Nariño,2008,1,2008-01-01,-0.5568856752956225,normal,No activa
Nariño,2008,2,2008-02-01,-0.3333933719403403,normal,No activa
Nariño,2008,3,2008-03-01,-0.2990911221336564,normal,No activa
Nariño,2008,4,2008-04-01,-0.239500066359802,normal,No activa
Nariño,2008,5,2008-05-01,0.07833405341782469,normal,No activa
Nariño,2008,6,2008-06-01,0.42454456618766323,normal,No activa
Nariño,2008,7,2008-07-01,0.8458942758362517,normal,No activa
Nariño,2008,8,2008-08-01,1.0365745187297977,normal,No activa
Nariño,2008,9,2008-09-01,0.9421175725486043,normal,No activa
Nariño,2008,10,2008-10-01,0.5376095317739354,normal,No activa
Nariño,2008,11,2008-11-01,-0.6082743861973068,normal,No activa
Nariño,2008,12,2008-12-01,-0.6959920925013254,normal,No activa
Nariño,2009,1,2009-01-01,-0.6723641600141791,normal,No activa
Nariño,2009,2,2009-02-01,-0.3310661721040147,normal,No activa
Nariño,2009,3,2009-03-01,-0.20821648644957869,normal,No activa
Nariño,2009,4,2009-04-01,-0.634000619964127,normal,No activa
Nariño,2009,5,2009-05-01,-0.7840192449328053,normal,No activa
Nariño,2009,6,2009-06-01,-0.9812942521236728,sequia,Activa
Nariño,2009,7,2009-07-01,-0.510957489105383,normal,No activa
Nariño,2009,8,2009-08-01,-0.38068307514203953,normal,No activa
